PDBID,Y,Y_mean,Y_var
7S3K,5.065501689910889,6.280553817749023,1.3653191328048706
7L14,7.879426002502441,7.5129475593566895,0.4987235367298126
7L10,5.638272285461426,5.160625457763672,0.5559444427490234
7RMB,5.602059841156006,6.875757217407227,0.7684173583984375
8ACD,5.442492961883545,5.188643932342529,1.2275724411010742
7M8M,5.602059841156006,5.977405548095703,1.5701229572296143
7LTJ,6.698969841003418,7.047528266906738,1.3621209859848022
7EN9,5.395773887634277,6.577223777770996,0.5459827184677124
7L0D,6.853871822357178,8.015177726745605,0.5796949863433838
7S4B,6.892789840698242,7.490758895874023,0.7772071361541748
7RM2,7.744727611541748,7.475346088409424,2.19244647026062
7RMT,6.7695512771606445,6.042397975921631,0.7312767505645752
7S3S,5.79587984085083,5.665332317352295,0.3520585894584656
6M2N,5.744727611541748,6.627781867980957,0.9585214257240295
7L12,5.677780628204346,3.6317989826202393,0.8003274202346802
7RLS,6.327902317047119,7.7039408683776855,0.6478118896484375
7LME,6.92081880569458,5.767538070678711,0.5073302984237671
7VTH,6.425968647003174,7.189358234405518,0.4595910906791687
7M8N,6.958607196807861,6.449646949768066,0.9035935401916504
8ACL,7.0,5.845052719116211,0.7039626240730286
7JU7,7.431798458099365,6.554724216461182,0.5601168274879456
7M8Y,6.425968647003174,7.457128047943115,0.3931067883968353
7KX5,7.602059841156006,7.895065784454346,1.8126702308654785
7N44,7.698969841003418,7.118968486785889,0.26255422830581665
7EN8,7.376750946044922,6.170883655548096,0.41311460733413696
7VU6,7.142667293548584,6.275855541229248,0.4325340986251831
7M8P,7.148741722106934,4.58485746383667,0.7775515913963318
7RME,5.886056423187256,8.375720977783203,0.9809437394142151
7M91,6.161150932312012,9.802102088928223,0.4892788231372833
7LMF,5.879426002502441,5.744983673095703,0.6576389670372009
7LMD,6.214670181274414,6.006680011749268,0.941141664981842
6W63,5.853871822357178,5.968625068664551,0.4047352075576782
7M8O,5.207608222961426,6.787168502807617,1.0029460191726685
7M90,5.193819999694824,4.813751697540283,0.4357374906539917
7L13,5.055517196655273,7.145227909088135,0.9256051182746887
7M8X,6.397940158843994,7.706338405609131,0.3069751560688019
7RMZ,6.397940158843994,8.474035263061523,0.6617998480796814
7RN4,5.301899433135986,7.600117206573486,0.7534999251365662
7M8Z,6.97469425201416,6.720024108886719,0.31508946418762207
7L11,7.200659275054932,7.290077209472656,0.40526625514030457
